,x,y,name,1128,1307,1131,1070,1107,1139,1145,1092,1140,1138,1129,1122,1399,1311,1200,1692,1105,1103,1433,1121,1137,1309,1658,1654,1134,1054,1308,1167,1507,1651,1117,1383,1414,1360,1106,1132,1404,1259,1344,1642,1412,1244,1403
78,1470,,/Users/akshitshishodia/tracker/roboDK /pred/78.png,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1472,,/Users/akshitshishodia/tracker/roboDK /pred/79.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1419,,/Users/akshitshishodia/tracker/roboDK /pred/80.png,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1470,,/Users/akshitshishodia/tracker/roboDK /pred/81.png,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1364,,/Users/akshitshishodia/tracker/roboDK /pred/82.png,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1452,,/Users/akshitshishodia/tracker/roboDK /pred/83.png,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1472,,/Users/akshitshishodia/tracker/roboDK /pred/84.png,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1497,,/Users/akshitshishodia/tracker/roboDK /pred/85.png,,,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,
86,1472,,/Users/akshitshishodia/tracker/roboDK /pred/86.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1477,,/Users/akshitshishodia/tracker/roboDK /pred/87.png,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1472,,/Users/akshitshishodia/tracker/roboDK /pred/88.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1472,,/Users/akshitshishodia/tracker/roboDK /pred/89.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1472,,/Users/akshitshishodia/tracker/roboDK /pred/90.png,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
